Amp #,Total Readout,Total Readout Uncertainty,Mean Readout (Per Pixel),Standard Deviation (Per Pixel),Standard Error in the Pixel Mean,Variance (Per Pixel)
1,-20675.293,757.9347421886011,-0.03943499,1.0467594,0.001445645794274523,1.0957052
2,-13715.897,415.1178168571069,-0.026160998,0.5733059,0.0007917744004385126,0.32867965
3,-13897.607,480.35199956651456,-0.026507583,0.66339874,0.0009161987296419421,0.4400979
4,-20507.807,406.4447534024885,-0.039115537,0.5613278,0.0007752318447160502,0.31508893
5,-23348.94,516.3206191043979,-0.044534568,0.71307385,0.000984803426941677,0.5084743
6,-15522.286,367.8967737097215,-0.029606411,0.50809044,0.000701707408351367,0.25815588
7,-16243.256,671.4229205928945,-0.030981552,0.92728066,0.001280637589631833,0.85984945
8,-17145.844,921.4089048474203,-0.0327031,1.2725283,0.00175744801492199,1.6193283
9,-5588.3486,609.890043099633,-0.010658929,0.8422996,0.0011632729398720417,0.7094686
10,-5137.8545,445.0675265554482,-0.00979968,0.6146685,0.0008488989382847751,0.37781736
11,-13831.907,709.1914169131633,-0.02638227,0.9794415,0.0013526752794516816,0.9593057
12,-825.9149,563.9124358331537,-0.0015753077,0.7788014,0.0010755776135123324,0.6065316
13,-4066.401,240.42933943203442,-0.007756044,0.33204925,0.00045858257185370336,0.1102567
14,-6646.505,677.7912406192337,-0.012677202,0.93607575,0.0012927841961273836,0.8762378
15,-6936.204,465.4390985616062,-0.013229759,0.642803,0.000887754628298962,0.4131957
16,-3524.0945,266.453385112838,-0.006721677,0.36799023,0.0005082194998032341,0.1354168
17,-16693.945,454.130396433875,-0.031841174,0.6271849,0.0008661849907567501,0.39336094
18,-25062.607,617.8360606047964,-0.04780313,0.8532736,0.0011784287654968194,0.7280758
19,-24079.805,626.7375613270431,-0.045928583,0.86556715,0.001195407030729376,0.7492065
20,-29927.121,568.6918372037213,-0.057081454,0.78540206,0.0010846935981821467,0.6168564
21,-24923.36,584.6072640521467,-0.047537535,0.80738235,0.0011150498658221181,0.65186626
22,-28773.531,418.14947675972223,-0.054881155,0.57749283,0.0007975568328089184,0.33349797
23,-24910.973,313.033461685468,-0.04751391,0.43232048,0.0005970639451703415,0.18690099
24,-26427.596,651.6113284747915,-0.05040664,0.8999195,0.0012428499764915305,0.8098551
25,-10766.521,357.624908331943,-0.02053551,0.4939043,0.0006821153799666271,0.24394146
26,-4377.8237,778.1454629390535,-0.008350036,1.0746717,0.0014841946848660535,1.1549194
27,-15029.321,893.1160882421291,-0.028666155,1.233454,0.001703483749851473,1.5214088
28,-12072.776,423.49546124939485,-0.023026993,0.584876,0.0008077534890163323,0.34207994
29,-5855.0444,387.23094790707944,-0.011167611,0.53479224,0.0007385844190732564,0.28600276
30,-16009.168,680.587816864798,-0.030535065,0.939938,0.0012981182420059166,0.88348347
31,-26158.414,767.4875890742795,-0.049893215,1.0599525,0.0014638664037213889,1.1234993
32,-14967.912,194.72425571107533,-0.028549027,0.26892743,0.0003714070429059512,0.07232196
